,Integer Rank,Name,Position,Team,DSA Impact Factor,gamesPlayed,points,scoringPoints,goals,onePointGoals,twoPointGoals,assists,shots,shotPct,shotsOnGoal,shotsOnGoalPct,twoPointShots,twoPointShotPct,twoPointShotsOnGoal,twoPointShotsOnGoalPct,turnovers,causedTurnovers,groundBalls,touches,totalPasses,faceoffPct,faceoffsWon,faceoffsLost,faceoffs,twoPointGoalsAgainst,numPenalties,pim,powerPlayGoals,powerPlayShots,powerPlayGoalsAgainst,shortHandedGoals,shortHandedShots,unassistedGoals,assistedGoals
91,92,Ryan Ambler,M,Archers,0.504,0.581,0.737,0.798,0.805,0.818,0.313,0.155,0.641,0.92,0.704,0.678,0.156,0.567,0.225,0.269,0.249,0.081,0.0,0.525,0.546,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.947,0.866,0.5,0.37,0.355,0.153,0.882
92,93,Brian Tevlin,SSDM,Redwoods,0.497,0.74,0.573,0.642,0.649,0.67,0.313,0.155,0.663,0.47,0.587,0.287,0.831,0.567,0.225,0.269,0.425,0.861,0.808,0.68,0.734,0.533,0.329,0.194,0.771,0.5,0.168,0.794,0.313,0.265,0.5,0.37,0.355,0.153,0.748
93,94,Kyle Jackson,M,Atlas,0.494,0.184,0.652,0.642,0.649,0.67,0.313,0.749,0.701,0.417,0.749,0.666,0.156,0.567,0.225,0.269,0.425,0.081,0.0,0.485,0.498,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.947,0.943,0.5,0.37,0.355,0.153,0.748
94,95,Justin Inacio,FO,Chaos,0.489,0.184,0.652,0.642,0.649,0.67,0.313,0.749,0.586,0.599,0.587,0.415,0.156,0.567,0.225,0.269,0.542,0.081,0.939,0.182,0.187,0.978,0.976,0.031,0.973,0.5,0.168,0.794,0.313,0.265,0.5,0.37,0.355,0.757,0.152
95,96,Will Manny,A,Cannons,0.487,0.003,0.701,0.765,0.772,0.787,0.313,0.155,0.663,0.796,0.674,0.498,0.156,0.567,0.225,0.269,0.542,0.693,0.358,0.213,0.187,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.757,0.815
96,97,Hugh Kelleher,M,Atlas,0.486,0.382,0.737,0.798,0.805,0.818,0.313,0.155,0.758,0.709,0.728,0.439,0.831,0.567,0.225,0.269,0.292,0.081,0.436,0.461,0.403,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.891,0.152
97,98,Cam Wyers,D,Archers,0.485,0.382,0.652,0.718,0.725,0.743,0.313,0.155,0.455,1.0,0.587,1.0,0.156,0.567,0.225,0.269,0.292,0.693,0.551,0.14,0.132,0.533,0.329,0.699,0.302,0.5,0.168,0.794,0.313,0.265,0.5,0.37,0.355,0.757,0.748
98,99,Myles Jones,M,Atlas,0.485,0.184,0.765,0.642,0.649,0.67,0.313,0.882,0.586,0.599,0.637,0.581,0.156,0.567,0.225,0.269,0.249,0.081,0.358,0.532,0.572,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.866,0.5,0.37,0.355,0.757,0.152
99,100,Chris Merle,SSDM,Redwoods,0.472,0.184,0.573,0.642,0.649,0.67,0.313,0.155,0.373,1.0,0.508,1.0,0.156,0.567,0.225,0.269,0.993,0.693,0.499,0.1,0.146,0.533,0.329,0.237,0.731,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.748
100,101,Matt Whitcher,SSDM,Waterdogs,0.471,0.74,0.573,0.642,0.649,0.67,0.313,0.155,0.51,0.758,0.587,0.637,0.156,0.567,0.225,0.269,0.425,0.693,0.726,0.444,0.518,0.533,0.329,0.237,0.731,0.5,0.105,0.898,0.313,0.265,0.5,0.37,0.355,0.153,0.748
101,102,Tre Leclaire,M,Archers,0.47,0.003,0.652,0.718,0.725,0.743,0.313,0.155,0.616,0.758,0.637,0.498,0.156,0.567,0.225,0.269,0.993,0.081,0.436,0.151,0.146,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.757,0.748
102,103,Cross Ferrara,M,Chaos,0.464,0.382,0.765,0.823,0.83,0.842,0.313,0.155,0.781,0.737,0.798,0.602,0.156,0.567,0.225,0.269,0.349,0.081,0.0,0.435,0.356,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.911,0.152
103,104,Jonathan Donville,M,Player Pool,0.46,0.048,0.652,0.718,0.725,0.743,0.313,0.155,0.51,0.956,0.587,0.637,0.156,0.567,0.225,0.269,0.542,0.693,0.0,0.264,0.319,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.815
104,105,Marcus Hudgins,D,Waterdogs,0.456,0.581,0.573,0.09,0.09,0.108,0.313,0.749,0.373,0.002,0.508,1.0,0.763,0.567,0.838,1.0,0.292,0.92,0.808,0.274,0.319,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
105,106,Shane Knobloch,M,Chaos,0.454,0.048,0.737,0.642,0.649,0.67,0.313,0.855,0.663,0.47,0.674,0.498,0.156,0.567,0.225,0.269,0.349,0.081,0.358,0.362,0.356,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.757,0.152
106,107,Bryce Ford,M,Archers,0.451,0.048,0.573,0.642,0.649,0.67,0.313,0.155,0.455,0.884,0.587,1.0,0.156,0.567,0.225,0.269,0.993,0.081,0.251,0.14,0.187,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.757,0.152
107,108,Christian Scarpello,SSDM,Waterdogs,0.449,0.048,0.573,0.642,0.649,0.67,0.313,0.155,0.373,1.0,0.508,1.0,0.156,0.567,0.225,0.269,0.993,0.081,0.358,0.08,0.118,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.757,0.152
108,109,Jimmy Freehill,D,Waterdogs,0.435,0.581,0.061,0.09,0.09,0.108,0.313,0.155,0.51,0.002,0.587,0.637,0.87,0.567,0.895,0.789,0.993,0.693,0.669,0.372,0.458,0.533,0.329,0.699,0.302,0.5,0.105,0.922,0.313,0.265,0.5,0.37,0.355,0.153,0.152
109,110,Aidan Danenza,M,Redwoods,0.428,0.048,0.573,0.642,0.649,0.67,0.313,0.155,0.51,0.758,0.637,1.0,0.156,0.567,0.225,0.269,0.349,0.081,0.0,0.264,0.293,0.533,0.329,0.699,0.302,0.5,0.168,0.794,0.313,0.265,0.5,0.37,0.355,0.153,0.748
