,Integer Rank,Name,Position,Team,DSA Impact Factor,gamesPlayed,points,scoringPoints,goals,onePointGoals,twoPointGoals,assists,shots,shotPct,shotsOnGoal,shotsOnGoalPct,twoPointShots,twoPointShotPct,twoPointShotsOnGoal,twoPointShotsOnGoalPct,turnovers,causedTurnovers,groundBalls,touches,totalPasses,faceoffPct,faceoffsWon,faceoffsLost,faceoffs,twoPointGoalsAgainst,numPenalties,pim,powerPlayGoals,powerPlayShots,powerPlayGoalsAgainst,shortHandedGoals,shortHandedShots,unassistedGoals,assistedGoals
141,142,Chet Comizio,SSDM,Atlas,0.315,0.581,0.061,0.09,0.09,0.108,0.313,0.155,0.455,0.002,0.043,0.0,0.156,0.567,0.225,0.269,0.542,0.693,0.499,0.324,0.403,0.533,0.329,0.237,0.731,0.5,0.168,0.794,0.313,0.265,0.5,0.37,0.355,0.153,0.152
142,143,Jesse Bernhardt,D,Outlaws,0.315,0.74,0.061,0.09,0.09,0.108,0.313,0.155,0.012,0.002,0.043,0.0,0.156,0.567,0.225,0.269,0.425,0.861,0.635,0.399,0.498,0.533,0.329,0.699,0.302,0.5,0.105,0.898,0.313,0.265,0.5,0.37,0.355,0.153,0.152
143,144,Arden Cohen,D,Redwoods,0.312,0.74,0.061,0.09,0.09,0.108,0.313,0.155,0.012,0.002,0.043,0.0,0.156,0.567,0.225,0.269,0.349,0.958,0.851,0.244,0.306,0.533,0.329,0.699,0.302,0.5,0.028,0.985,0.313,0.265,0.5,0.37,0.355,0.153,0.152
144,145,Jack Rowlett,D,Chaos,0.31,0.74,0.061,0.09,0.09,0.108,0.313,0.155,0.012,0.002,0.043,0.0,0.156,0.567,0.225,0.269,0.349,0.861,0.499,0.417,0.508,0.533,0.329,0.699,0.302,0.5,0.168,0.861,0.313,0.265,0.5,0.37,0.355,0.153,0.152
145,146,Michael Rexrode,D,Atlas,0.31,0.74,0.061,0.09,0.09,0.108,0.313,0.155,0.012,0.002,0.043,0.0,0.156,0.567,0.225,0.269,0.542,0.777,0.669,0.284,0.379,0.533,0.329,0.699,0.302,0.5,0.168,0.861,0.313,0.265,0.5,0.37,0.355,0.153,0.152
146,147,Gavin Adler,D,Atlas,0.309,0.74,0.061,0.09,0.09,0.108,0.313,0.155,0.012,0.002,0.043,0.0,0.156,0.567,0.225,0.269,0.292,0.958,0.635,0.334,0.403,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
147,148,Warren Jeffrey,D,Archers,0.305,0.74,0.061,0.09,0.09,0.108,0.313,0.155,0.012,0.002,0.043,0.0,0.156,0.567,0.225,0.269,0.349,0.905,0.669,0.274,0.344,0.533,0.329,0.699,0.302,0.5,0.105,0.861,0.313,0.265,0.5,0.37,0.355,0.153,0.152
148,149,Bryce Young,D,Cannons,0.303,0.74,0.061,0.09,0.09,0.108,0.313,0.155,0.012,0.002,0.043,0.0,0.156,0.567,0.225,0.269,0.425,0.886,0.669,0.202,0.267,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
149,150,Zach Goodrich,SSDM,Cannons,0.302,0.74,0.061,0.09,0.09,0.108,0.313,0.155,0.012,0.002,0.043,0.0,0.156,0.567,0.225,0.269,0.425,0.777,0.499,0.343,0.436,0.533,0.329,0.15,0.812,0.5,0.072,0.898,0.313,0.265,0.5,0.37,0.355,0.153,0.152
150,151,Eli Gobrecht,SSDM,Waterdogs,0.3,0.382,0.061,0.09,0.09,0.108,0.313,0.155,0.012,0.002,0.043,0.0,0.156,0.567,0.225,0.269,0.993,0.777,0.358,0.09,0.146,0.533,0.329,0.237,0.731,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
151,152,Max Merklinger,A,Archers,0.3,0.003,0.061,0.09,0.09,0.108,0.313,0.155,0.455,0.002,0.508,0.498,0.156,0.567,0.225,0.269,0.425,0.081,0.251,0.09,0.091,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
152,153,Payton Rezanka,SSDM,Atlas,0.299,0.184,0.061,0.09,0.09,0.108,0.313,0.155,0.373,0.002,0.043,0.0,0.156,0.567,0.225,0.269,0.993,0.777,0.0,0.09,0.132,0.533,0.329,0.237,0.731,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
153,154,Patrick Resch,SSDM,Chaos,0.297,0.048,0.573,0.09,0.09,0.108,0.313,0.749,0.012,0.002,0.043,0.0,0.156,0.567,0.225,0.269,0.349,0.081,0.358,0.151,0.187,0.533,0.329,0.699,0.302,0.5,0.105,0.898,0.313,0.265,0.5,0.37,0.355,0.153,0.152
154,155,AJ Pilate,D,Outlaws,0.295,0.184,0.061,0.09,0.09,0.108,0.313,0.155,0.373,0.002,0.043,0.0,0.156,0.567,0.225,0.269,0.542,0.693,0.499,0.036,0.039,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
155,156,Carter Rice,SSDM,Redwoods,0.294,0.74,0.061,0.09,0.09,0.108,0.313,0.155,0.012,0.002,0.043,0.0,0.156,0.567,0.225,0.269,0.542,0.081,0.596,0.399,0.508,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
156,157,Nick Grill,LSM,Outlaws,0.293,0.184,0.061,0.09,0.09,0.108,0.313,0.155,0.012,0.002,0.043,0.0,0.156,0.567,0.225,0.269,0.542,0.777,0.596,0.08,0.118,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
157,158,Ryland Rees,LSM,Waterdogs,0.291,0.003,0.061,0.09,0.09,0.108,0.313,0.155,0.373,0.002,0.043,0.0,0.763,0.567,0.225,0.269,0.542,0.081,0.358,0.044,0.052,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
158,159,Jack DiBenedetto,D,Waterdogs,0.291,0.003,0.061,0.09,0.09,0.108,0.313,0.155,0.012,0.002,0.043,0.0,0.156,0.567,0.225,0.269,0.993,0.693,0.251,0.036,0.064,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
159,160,Jake Naso,FO,Archers,0.29,0.003,0.061,0.09,0.09,0.108,0.313,0.155,0.012,0.002,0.043,0.0,0.156,0.567,0.225,0.269,0.542,0.081,0.436,0.014,0.016,0.933,0.88,0.049,0.927,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
160,161,Cole Kastner,D,Redwoods,0.279,0.048,0.061,0.09,0.09,0.108,0.313,0.155,0.012,0.002,0.043,0.0,0.156,0.567,0.225,0.269,0.542,0.777,0.251,0.036,0.052,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
161,162,Michael Boehm,A,Waterdogs,0.273,0.003,0.061,0.09,0.09,0.108,0.313,0.155,0.012,0.002,0.043,0.0,0.156,0.567,0.225,0.269,0.993,0.081,0.251,0.044,0.078,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
162,163,Carter Parlette,SSDM,Redwoods,0.272,0.003,0.061,0.09,0.09,0.108,0.313,0.155,0.012,0.002,0.043,0.0,0.156,0.567,0.225,0.269,0.993,0.081,0.251,0.028,0.052,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
163,164,Koby Smith,LSM,Atlas,0.261,0.003,0.061,0.09,0.09,0.108,0.313,0.155,0.012,0.002,0.043,0.0,0.156,0.567,0.225,0.269,0.542,0.081,0.358,0.028,0.039,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
164,,Jack McDonald,LSM,Whipsnakes,0.256,0.003,0.061,0.09,0.09,0.108,0.313,0.155,0.012,0.002,0.043,0.0,0.156,0.567,0.225,0.269,0.542,0.081,0.251,0.003,0.0,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
